Student Id, Country Code, Enrolled Year, Age, Gender, Experienced, Course Code, Engagement Month, Engagement Year, Engagement Type
11          CN   2018   9 47FYJMC      0.00JUNE      2018Lecture 0                     
11          CN   2018   9 47FYPMC     13.33FEBRUARY  2020Lecture 2                     
12          GB   2023   9 32FYJMC     73.33SEPTEMBER 2024Lecture 11                    
12          GB   2023   9 32FYPMC      6.67DECEMBER  2024Lecture 1                     
13          GB   2024   6 31MNJMC     20.00APRIL     2024Lecture 3                     
13          GB   2024   6 31MNPMC     66.67MARCH     2024Lecture 10                    
14          CN   2018   7 48UNJMC     13.33AUGUST    2023Lecture 2                     
14          CN   2018   7 48UNPMC     40.00APRIL     2021Lecture 6                     
15          IN   2023   8 52MYJMC     73.33MARCH     2023Lecture 11                    
15          IN   2023   8 52MYPMC     33.33JANUARY   2024Lecture 5                     
